City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
arcoverde,BR,-8.42,-37.05,82.51,37,2,12.44,1595434142
bengkulu,ID,-3.8,102.27,76.12,88,72,4.63,1595434142
parabel,RU,58.7,81.48,49.55,65,52,8.16,1595434142
ust-nera,RU,64.57,143.2,61.54,63,22,2.1,1595434142
akureyri,IS,65.68,-18.09,53.6,62,75,13.87,1595434142
havelock,US,34.88,-76.9,91.4,59,20,10.29,1595433957
novikovo,RU,51.15,37.89,67.17,67,15,12.41,1595434143
hilo,US,19.73,-155.09,69.8,73,1,5.82,1595433925
port elizabeth,ZA,-33.92,25.57,66.2,82,20,5.82,1595434143
adrar,MR,20.5,-10.07,109.71,10,1,4.65,1595434143
komsomolskiy,UZ,40.43,71.72,84.2,35,20,2.24,1595434143
pangody,RU,65.85,74.49,54.09,67,5,11.23,1595434144
dingle,PH,11,122.67,77.52,87,15,4.38,1595434144
sembe,CG,1.65,14.58,79.93,78,50,2.68,1595434144
half moon bay,US,37.46,-122.43,62.01,93,90,6.93,1595434144
jining,CN,35.41,116.58,71.28,93,95,9.78,1595434144
port blair,IN,11.67,92.75,83.12,73,100,1.81,1595434097
banjarmasin,ID,-3.32,114.59,75.11,96,76,4.16,1595434144
busselton,AU,-33.65,115.33,60.01,70,79,21.52,1595433967
ancud,CL,-41.87,-73.82,48.2,70,100,4.7,1595434145
sualkuchi,IN,26.17,91.57,82.4,100,75,1.83,1595434145
loandjili,CG,-4.76,11.86,78.8,69,20,10.29,1595434145
kokopo,PG,-4.35,152.26,77.27,83,88,8.34,1595434145
yellowknife,CA,62.46,-114.35,64.99,88,75,5.82,1595434146
esil,KZ,51.96,66.4,69.93,54,95,12.53,1595434146
clyde river,CA,70.47,-68.59,44.6,100,90,4.7,1595434146
zhenjiang,CN,32.21,119.43,82.99,88,100,3,1595434146
nikolskoye,RU,59.7,30.79,66.2,55,40,15.66,1595433924
harper,LR,4.38,-7.72,76.41,84,88,13.42,1595434146
sioux lookout,CA,50.1,-91.92,69.8,68,20,4.7,1595434034
padang,ID,-0.95,100.35,73.4,100,90,2.24,1595434147
thinadhoo,MV,0.53,72.93,84.31,72,28,8.28,1595434147
suluq,LY,31.67,20.25,84.56,41,0,23.49,1595434147
gibsons,CA,49.4,-123.5,64,88,95,4,1595434051
souillac,MU,-20.52,57.52,66.2,82,75,17.22,1595433949
narsaq,GL,60.92,-46.05,68,20,20,24.16,1595434148
korla,CN,41.76,86.15,77,82,95,3,1595434004
san vicente,AR,-26.62,-54.13,77.72,45,100,6.4,1595433992
fort dodge,US,42.5,-94.17,71.6,73,1,5.82,1595434148
tasiilaq,GL,65.61,-37.64,44.6,75,75,6.93,1595434103
lagos,NG,6.58,3.75,84.2,74,75,6.93,1595433998
atuona,PF,-9.8,-139.03,79.18,77,20,19.73,1595434149
ribeira grande,PT,38.52,-28.7,75.2,64,40,6.93,1595434149
chuy,UY,-33.7,-53.46,65.59,97,100,6.08,1595434149
sinop,TR,41.77,34.87,69.1,64,0,5.88,1595434149
buraydah,SA,26.33,43.98,109.4,14,40,20.8,1595434150
tezu,IN,27.92,96.17,76.57,80,100,2.17,1595434150
gat,IL,31.61,34.76,84.99,60,0,5.01,1595434150
jamestown,US,42.1,-79.24,75.99,88,75,4.7,1595433994
mehamn,NO,71.04,27.85,51.8,87,90,6.93,1595433949
samarai,PG,-10.62,150.67,76.69,82,95,13.76,1595433978
bathsheba,BB,13.22,-59.52,89.6,55,40,20.8,1595434151
bredasdorp,ZA,-34.53,20.04,60.8,82,0,6.93,1595434151
hammerfest,NO,70.66,23.68,48.2,100,75,20.8,1595434151
ometepec,MX,16.68,-98.42,81.14,85,34,1.92,1595434151
peterhead,GB,57.51,-1.8,57.99,87,90,12.75,1595434151
barra,BR,-11.09,-43.14,84.92,38,0,9.04,1595434152
manikpur,IN,25.07,81.12,86.45,64,91,8.52,1595434152
saldanha,ZA,-33.01,17.94,64.4,63,0,8.05,1595434152
bluff,NZ,-46.6,168.33,39,83,79,3,1595434103
port alfred,ZA,-33.59,26.89,62.76,84,0,2.01,1595434103
tiznit,MA,29.58,-9.5,91.27,29,0,8.84,1595434152
constitucion,CL,-35.33,-72.42,54.25,67,17,4.5,1595433870
kodiak,US,57.79,-152.41,57.2,62,1,6.93,1595434153
rawson,AR,-43.3,-65.1,39.2,93,75,18.34,1595434153
cidreira,BR,-30.18,-50.21,72.32,65,100,3.02,1595433975
tuktoyaktuk,CA,69.45,-133.04,40.71,87,75,10.94,1595434153
norman wells,CA,65.28,-126.83,55.4,93,75,3.36,1595433882
the pas,CA,53.83,-101.25,71.6,73,90,9.17,1595434153
port hedland,AU,-20.32,118.57,60.8,63,0,6.93,1595433989
vao,NC,-22.67,167.48,66.9,74,99,17.98,1595433971
mont-de-marsan,FR,44,-0.67,89.6,52,1,6.93,1595434154
santiago del estero,AR,-27.8,-64.26,59.11,49,99,14.43,1595434154
gushikawa,JP,26.35,127.87,82.4,83,20,3.36,1595434154
arona,ES,28.1,-16.68,82.4,58,20,23.04,1595434154
haselunne,DE,52.67,7.48,66.2,48,90,5.82,1595434154
severo-kurilsk,RU,50.68,156.12,49.8,88,85,5.32,1595433973
bereda,ES,43.27,-7.54,84,61,0,10,1595434155
san patricio,MX,19.22,-104.7,89.6,75,40,6.93,1595434155
tanout,NE,14.97,8.89,96.17,28,25,0.92,1595434155
dikson,RU,73.51,80.55,41.4,92,1,5.73,1595433938
arraial do cabo,BR,-22.97,-42.03,80.6,69,0,6.93,1595434155
santa vitoria,BR,-18.84,-50.12,85.17,28,5,5.61,1595433955
san jeronimo,PE,-11.95,-75.28,58.37,38,9,1.79,1595434156
mitsamiouli,KM,-11.38,43.28,75.2,64,75,9.17,1595434156
airai,TL,-8.93,125.41,53.82,86,24,3.44,1595433921
lufilufi,WS,-13.87,-171.6,80.01,94,88,17.78,1595434156
bridlington,GB,54.08,-0.19,64.4,63,100,3.36,1595434157
peniche,PT,39.36,-9.38,75,87,0,5.99,1595434157
ko samui,TH,9.54,99.94,84.2,79,20,8.05,1595434157
barbacoas,CO,1.67,-78.14,75.49,89,100,3.36,1595434158
longyearbyen,SJ,78.22,15.64,48.2,76,75,11.41,1595434158
sawakin,SD,19.11,37.33,93.79,44,3,11.34,1595434158
mar del plata,AR,-38,-57.56,50,93,90,26.4,1595434107
thompson,CA,55.74,-97.86,73.4,60,20,8.05,1595433966
east london,ZA,-33.02,27.91,66.74,79,0,1.95,1595433985
saint-augustin,CA,51.23,-58.65,72.7,40,50,14.29,1595434159
sao filipe,CV,14.9,-24.5,79.11,79,84,8.75,1595434159
vanino,RU,49.09,140.25,55.51,94,100,3.76,1595434159
port augusta,AU,-32.5,137.77,37.99,100,0,5.82,1595434159
placido de castro,BR,-10.34,-67.19,93.34,28,13,3.13,1595434159
lata,PT,40.16,-8.33,91,48,0,11.16,1595434159
chokurdakh,RU,70.63,147.92,70.02,54,96,5.01,1595433926
roebourne,AU,-20.78,117.13,69.87,63,0,5.66,1595434160
yumen,CN,40.28,97.2,72.79,42,100,13.15,1595434160
portland,US,45.52,-122.68,66.99,77,90,5.82,1595433934
chake chake,TZ,-5.25,39.77,75.51,72,69,15.05,1595434160
pangnirtung,CA,66.15,-65.71,62.6,55,90,17.22,1595434160
bykovo,RU,55.64,38.08,69.8,60,40,6.71,1595434160
sao joao da barra,BR,-21.64,-41.05,84.2,51,0,2.24,1595433987
trelew,AR,-43.25,-65.31,39.2,93,75,18.34,1595434161
kahului,US,20.89,-156.47,72,68,1,4.7,1595434161
abu samrah,SY,35.3,37.18,92.43,21,0,13.85,1595434161
lazaro cardenas,MX,17.96,-102.2,80.89,84,100,0.45,1595434161
batagay-alyta,RU,67.8,130.41,58.86,67,0,2.44,1595434161
flinders,AU,-34.58,150.86,50,81,14,1.99,1595434161
kaeo,NZ,-35.1,173.78,51.01,3,0,5.99,1595433999
namibe,AO,-15.2,12.15,80.6,54,0,17.22,1595434162
vanavara,RU,60.34,102.28,54.46,82,2,1.68,1595434162
vardo,NO,70.37,31.11,62.6,93,75,8.05,1595434162
port lincoln,AU,-34.73,135.87,50.32,78,10,9.17,1595433995
manuk mangkaw,PH,4.8,119.85,85.01,71,31,6.62,1595434162
ukiah,US,39.15,-123.21,63,77,1,4.7,1595433306
nanortalik,GL,60.14,-45.24,55.69,58,28,16.78,1595433864
mount gambier,AU,-37.83,140.77,46.4,93,90,3.36,1595434163
vero beach,US,27.64,-80.4,84.2,74,75,16.11,1595433986
ulagan,RU,50.63,87.96,56.07,77,100,1.57,1595434163
srednekolymsk,RU,67.45,153.68,67.28,41,98,8.72,1595434163
pyapon,MM,16.28,95.68,79.74,86,98,5.5,1595434163
pevek,RU,69.7,170.31,50.18,51,99,4.74,1595433955
vrangel,RU,42.73,133.08,64.89,92,30,9.24,1595434164
gold coast,AU,-28,153.43,60.01,67,90,6.93,1595434164
vostok,RU,46.49,135.88,59.43,96,10,1.86,1595433940
wuda,CN,39.5,106.71,75.49,51,100,25.37,1595434165
comodoro rivadavia,AR,-45.87,-67.5,37.4,86,40,2.24,1595434092
mahebourg,MU,-20.41,57.7,66.2,82,75,17.22,1595434165
aklavik,CA,68.22,-135.01,42.8,93,40,6.17,1595434165
gidole,ET,5.65,37.37,61.27,83,52,3.22,1595434165
swan hill,AU,-35.34,143.55,43.21,74,39,5.17,1595434165
esperance,AU,-33.87,121.9,57.2,58,0,18.34,1595433998
alibag,IN,18.64,72.88,86,79,75,3.36,1595434165
acajutla,SV,13.59,-89.83,78.01,78,100,2.24,1595434166
porto santo,PT,33.07,-16.34,71.6,68,20,17.22,1595434166
kidal,ML,18.44,1.41,102.69,20,0,3.78,1595433969
leningradskiy,RU,69.38,178.42,56.62,48,100,4.47,1595434004
tofield,CA,53.37,-112.67,64,93,99,8.84,1595434167
cherskiy,RU,68.75,161.3,63.09,49,92,8.66,1595433960
kapitan ramon,PH,10.77,123.13,76.51,87,4,3.85,1595434167
tiksi,RU,71.69,128.87,49.55,84,86,1.36,1595434167
imeni poliny osipenko,RU,52.42,136.49,55.15,92,87,7.63,1595434167
coihaique,CL,-45.58,-72.07,33.8,74,75,4.7,1595434168
te anau,NZ,-45.42,167.72,34.56,87,61,4.12,1595434168
amga,RU,60.9,131.96,54,82,94,5.99,1595434168
alofi,NU,-19.06,-169.92,73.4,100,28,6.93,1595433983
hambantota,LK,6.12,81.12,80.6,100,40,6.93,1595433964
pisco,PE,-13.7,-76.22,64.99,82,12,6.93,1595433984
kralendijk,BQ,12.15,-68.27,86,66,75,18.34,1595434168
faanui,PF,-16.48,-151.75,76.82,79,58,18.77,1595434169
bambous virieux,MU,-20.34,57.76,66.2,82,75,17.22,1595434169
llanes,ES,43.42,-4.75,77,62,0,2.13,1595434169
olafsvik,IS,64.89,-23.71,49.8,71,60,7.96,1595434169
castelo do piaui,BR,-5.32,-41.55,93.51,23,32,8.39,1595434169
togur,RU,58.36,82.83,52.84,65,57,8.32,1595434170
naze,JP,28.37,129.48,78.8,94,71,1.12,1595434170
linxia,CN,35.6,103.21,65.48,76,100,1.28,1595434170
victoria,HK,22.29,114.16,86,79,2,5.99,1595433979
saskylakh,RU,71.92,114.08,46.62,92,100,11.01,1595433922
southbridge,US,42.08,-72.03,77,73,75,8.05,1595434002
beidao,CN,34.57,105.89,70.3,78,100,3.65,1595434171
lerwick,GB,60.15,-1.15,57.2,76,40,10.29,1595434171
soskovo,RU,52.75,35.38,61.5,76,23,10.96,1595434171
conde,BR,-7.26,-34.91,82.4,61,40,14.99,1595434171
hermanus,ZA,-34.42,19.23,59,85,0,1.68,1595433970
port hardy,CA,50.7,-127.42,57.2,87,90,6.93,1595434172
divnomorskoye,RU,44.5,38.14,78.31,56,4,8.99,1595434172
alta,NO,69.97,23.27,51.8,87,90,17.22,1595434172
atar,MR,20.52,-13.05,109.8,14,16,7.81,1595434173
abaza,RU,52.66,90.09,55.6,87,9,2.51,1595434173
sur,OM,22.57,59.53,87.04,66,80,20.33,1595433977
kilimatinde,TZ,-5.85,34.95,74.7,40,89,4.54,1595434173
grand-lahou,CI,5.14,-5.02,77.27,82,62,12.71,1595434173
coahuayana,MX,18.73,-103.68,75.2,88,75,2.37,1595434173
codrington,AU,-38.27,141.97,46.26,82,75,4.16,1595433946
zhigansk,RU,66.77,123.37,58.77,74,31,8.84,1595434174
faya,SA,18.39,42.45,73.4,78,40,16.11,1595433949
wadi,IN,17.07,76.98,83.48,75,100,1.9,1595434174
bandarbeyla,SO,9.49,50.81,80.83,62,63,24.83,1595434175
marchtrenk,AT,48.2,14.12,80.6,44,20,9.17,1595434175
una,IN,20.82,71.03,84.51,77,54,12.35,1595434175
xixiang,CN,35.16,112.86,73.99,1,37,2.77,1595434176
iberia,US,29.95,-91.75,87.8,70,20,3.36,1595434176
keuruu,FI,62.27,24.7,59,67,75,12.75,1595434176
yanam,IN,16.73,82.22,82.4,69,40,6.93,1595434176
bubaque,GW,11.28,-15.83,80.87,81,23,11.39,1595433966
kurchum,KZ,48.57,83.65,66.88,59,12,10.6,1595434176
rocha,UY,-34.48,-54.33,67.93,90,100,7.16,1595434177
campo do brito,BR,-10.73,-37.49,82.4,61,40,13.87,1595434177
acapulco,MX,16.86,-99.89,80.6,83,40,5.82,1595434082
grootfontein,NA,-19.57,18.12,67.03,24,0,7.83,1595434177
wajima,JP,37.4,136.9,73.11,88,100,6.2,1595434178
at-bashi,KG,41.17,75.81,53.96,65,67,2.64,1595434178
kieta,PG,-6.22,155.63,77.7,78,44,4.97,1595434178
moissala,TD,8.34,17.77,81.39,83,60,1.21,1595434178
bethel,US,41.37,-73.41,84,69,75,6.93,1595434178
guerrero negro,MX,27.98,-114.06,69.49,73,97,9.69,1595434178
namtsy,RU,62.72,129.67,66.2,63,100,6.71,1595434179
ahipara,NZ,-35.17,173.17,55.65,70,28,16.37,1595434011
umarkot,PK,25.36,69.74,95.4,46,100,17.2,1595434179
chauk,MM,20.88,94.82,82.76,71,100,11.95,1595434179
houma,US,29.6,-90.72,90,74,40,4.7,1595433897
navegantes,BR,-26.9,-48.65,80.01,54,34,9.17,1595434180
vila velha,BR,-20.33,-40.29,82.4,54,20,9.17,1595433886
novobirilyussy,RU,56.95,90.67,52.09,96,25,4.7,1595434180
dubreka,GN,9.79,-13.52,86,79,75,11.41,1595434180
lavrentiya,RU,65.58,-171,45.79,73,0,2.37,1595434181
deputatskiy,RU,69.3,139.9,71.04,51,75,6.2,1595434181
isiro,CD,2.77,27.62,70.54,96,100,2.04,1595434181
berlevag,NO,70.86,29.09,50,93,75,14.99,1595434181
quelimane,MZ,-17.88,36.89,71.6,68,40,14.99,1595434181
pahrump,US,36.21,-115.98,84.2,13,1,12.39,1595434076
sorland,NO,67.67,12.69,57.2,67,40,13.87,1595434182
excelsior springs,US,39.34,-94.23,81,100,1,6.76,1595434182
minab,IR,27.15,57.08,93.2,63,8,16.11,1595434182
pokhara,NP,28.23,83.98,71.44,84,52,1.88,1595434183
avera,US,33.19,-82.53,87.8,62,1,3.36,1595434183
denpasar,ID,-8.65,115.22,78.8,100,20,12.75,1595434167
elbistan,TR,38.21,37.2,79.77,35,0,17,1595434183
gijon,ES,43.54,-5.66,75,76,0,3,1595434183
matabungkay,PH,13.95,120.62,81.5,81,0,4.92,1595434183
dwarka,IN,22.24,68.97,85.01,78,100,15.28,1595434183
cayenne,GF,4.93,-52.33,84.2,74,36,2.24,1595434141
devrek,TR,41.22,31.96,77.92,54,0,6.06,1595434184
alice springs,AU,-23.7,133.88,41,65,0,9.31,1595433894
abong mbang,CM,3.98,13.18,78.84,70,51,0.43,1595434184
klyuchi,RU,52.27,79.17,64.65,58,3,4.32,1595434184
saint george,US,37.1,-113.58,84.2,25,1,6.93,1595433897
okhotsk,RU,59.38,143.3,51.53,85,0,5.91,1595434184
tambovka,RU,50.1,128.05,62.6,88,22,2.24,1595434185
pacific grove,US,36.62,-121.92,61,82,75,3.36,1595434185
raha,IN,26.23,92.52,77.99,93,100,4.61,1595434185
olinda,BR,-8.01,-34.86,84.2,58,40,12.75,1595434185
belmonte,BR,-15.86,-38.88,78.8,54,20,8.05,1595434185
khuzhir,RU,53.19,107.34,54.12,89,100,5.35,1595434185
svetlyy,RU,54.67,20.13,62.6,67,75,20.13,1595434186
ebebiyin,GQ,2.15,11.34,77.61,76,52,3.31,1595434186
broome,US,42.25,-75.83,82.99,61,75,10.29,1595434186
mauganj,IN,24.68,81.88,86.2,65,35,8.5,1595434186
pochinki,RU,54.7,44.87,68.54,83,80,5.32,1595434187
dicabisagan,PH,17.08,122.42,81.63,79,8,3.11,1595434187
ilulissat,GL,69.22,-51.1,53.6,50,40,3.36,1595434187
qiyang,CN,26.59,111.85,79.34,75,98,4,1595434187
broken hill,AU,-31.95,141.43,42.8,75,0,9.17,1595434012
lompoc,US,34.64,-120.46,55.4,93,54,5.5,1595433921
solnechnyy,RU,50.72,136.63,61.16,93,100,2.93,1595434188
grindavik,IS,63.84,-22.43,57.2,54,75,10.29,1595433971
laguna,US,38.42,-121.42,64.99,72,5,8.05,1595434188
beaverlodge,CA,55.22,-119.44,62.6,72,75,3.36,1595434188
pilar,BR,-9.6,-35.96,78.8,65,40,10.29,1595434188
ketchikan,US,55.34,-131.65,57.2,93,90,8.05,1595434011
kameshkovo,RU,56.35,41,64.11,88,49,9.62,1595434188
sakaiminato,JP,35.55,133.23,71.6,94,75,11.41,1595434189
frontera,MX,26.93,-101.45,84.99,74,75,2.19,1595434189
guamal,CO,9.14,-74.22,87.71,66,93,2.01,1595434189
sidrolandia,BR,-20.93,-54.96,84.2,28,40,11.41,1595434189
paamiut,GL,61.99,-49.67,46.54,82,100,4.16,1595434190
los llanos de aridane,ES,28.66,-17.92,78.8,69,75,16.11,1595434190
corinth,GR,37.94,22.96,90,38,0,4,1595434190
phangnga,TH,8.45,98.53,77,94,40,2.26,1595434191
cienfuegos,CU,22.15,-80.44,87.8,66,16,2.24,1595434169
koulamoutou,GA,-1.13,12.47,84.99,56,71,3.31,1595434191
nouadhibou,MR,20.93,-17.03,80.6,65,1,12.75,1595434191
kloulklubed,PW,7.04,134.26,77,94,75,9.55,1595434191
teya,RU,60.38,92.63,53.53,93,100,2.35,1595434191
bud,US,39.45,-86.18,73.99,94,75,10.02,1595434192
caravelas,BR,-17.71,-39.25,78.66,51,2,6.31,1595434192
mayor pablo lagerenza,PY,-19.93,-60.77,93.4,22,0,14.29,1595434192
khatanga,RU,71.97,102.5,50.43,75,100,6.44,1595433937
kavieng,PG,-2.57,150.8,82.22,77,2,14.16,1595433974
de aar,ZA,-30.65,24.01,54.05,33,0,3.83,1595434193
nisia floresta,BR,-6.09,-35.21,84.2,58,75,11.41,1595434157
lima,PE,-12.04,-77.03,62.6,77,90,4.7,1595434193
port-gentil,GA,-0.72,8.78,82.4,69,40,13.27,1595434194
ormara,PK,25.21,64.64,85.19,80,100,16.22,1595434194
san ramon,US,37.78,-121.98,63,77,90,4.7,1595433943
marsa matruh,EG,31.35,27.25,80.6,83,0,13.87,1595434194
kuminskiy,RU,58.67,66.57,65.57,66,27,4.47,1595434195
takoradi,GH,4.88,-1.76,76.71,84,76,12.71,1595434195
havoysund,NO,71,24.66,50,93,75,10.29,1595434195
upernavik,GL,72.79,-56.15,49.28,61,0,11.34,1595434195
taltal,CL,-25.4,-70.48,59.63,62,28,4.52,1595434195
bazarnyye mataki,RU,54.88,49.93,66.9,85,16,5.14,1595434195
geraldton,AU,-28.77,114.6,57.2,87,0,5.82,1595433986
tocopilla,CL,-22.09,-70.2,63.21,60,33,7.52,1595434196
gigmoto,PH,13.78,124.39,81.55,81,3,5.1,1595434196
yarada,IN,17.65,83.27,86,84,90,10.29,1595434196
blagoyevo,RU,63.37,47.92,71.1,65,79,9.24,1595434196
seymchan,RU,62.88,152.43,55.9,66,33,5.75,1595434196
zahesi,GE,41.82,44.75,80.6,51,40,16.11,1595434196
iralaya,HN,15,-83.23,89.6,70,40,9.17,1595434197
pangkalanbuun,ID,-2.68,111.62,74.55,98,82,2.28,1595434197
ngunguru,NZ,-35.62,174.5,51.01,3,1,5.01,1595434197
fare,PF,-16.7,-151.02,77.59,77,53,19.8,1595434197
tandil,AR,-37.32,-59.13,51.01,92,100,11.99,1595433966
karratha,AU,-20.74,116.85,69.69,64,0,5.14,1595434197
kutum,SD,14.2,24.67,87.6,31,65,6.8,1595434197
utiel,ES,39.57,-1.2,81,34,13,9.24,1595434198
qasigiannguit,GL,68.82,-51.19,53.6,50,40,3.36,1595433965
grand gaube,MU,-20.01,57.66,64,76,3,1.99,1595433967
paka,MY,4.64,103.44,78.8,94,46,2.24,1595434198
charlestown,AU,-32.95,151.67,51.01,85,100,1.01,1595434198
raton,US,36.9,-104.44,72,59,1,4.7,1595434199
burgersdorp,ZA,-31,26.33,50.76,37,0,4.88,1595434199
havre-saint-pierre,CA,50.23,-63.6,66.2,63,20,21.92,1595434199
kuching,MY,1.55,110.33,75.2,94,20,4.7,1595433941
kihei,US,20.79,-156.47,72,68,1,4.7,1595434199
husavik,IS,66.04,-17.34,53.6,62,75,13.87,1595434200
sao felix do xingu,BR,-6.64,-51.99,94.14,27,0,5.5,1595434200
linjiang,CN,41.81,126.91,65.91,84,8,1.34,1595434200
casma,CL,-41.01,-73.12,51.8,50,100,9.17,1595434200
shetpe,KZ,44.17,52.12,82.53,36,55,14.41,1595434200
jieshou,CN,33.26,115.36,71.58,96,98,8.39,1595434200
hakkari,TR,37.58,44.17,78.8,24,20,8.05,1595434201
ostrovnoy,RU,68.05,39.51,66.74,65,0,15.59,1595434201
stokmarknes,NO,68.56,14.91,57.2,67,75,8.05,1595434201
ulladulla,AU,-35.35,150.47,46.4,93,14,8.05,1595434202
nome,US,64.5,-165.41,46,93,1,1.77,1595434202
udachnyy,RU,66.42,112.4,55.4,100,90,8.95,1595434203
khorixas,NA,-20.37,14.97,77.61,15,0,6.42,1595434203
angoche,MZ,-16.23,39.91,70.61,68,1,11.45,1595434203
todos santos,MX,23.45,-110.22,79,79,15,5.01,1595434204
yulara,AU,-25.24,130.99,48.2,57,0,6.93,1595433960
lakshettipet,IN,18.87,79.22,83.3,75,57,2.55,1595434204
biak,ID,-0.91,122.88,77.11,82,84,6.06,1595434204
salalah,OM,17.02,54.09,80.6,94,90,11.41,1595433996
vallenar,CL,-28.57,-70.76,58.46,48,5,4.65,1595434204
eureka,US,40.8,-124.16,57,100,49,4.05,1595434205
kurri kurri,AU,-32.82,151.48,51.01,86,97,1.99,1595434205
hay river,CA,60.82,-115.8,64.4,88,90,5.61,1595434205
roros,NO,62.57,11.38,50,61,75,17.22,1595434205
kruisfontein,ZA,-34,24.73,56.41,85,0,4.36,1595433948
makakilo city,US,21.35,-158.09,75.2,88,1,3.36,1595434206
sabang,ID,5.89,95.32,83.66,71,95,6.42,1595434206
fort atkinson,US,42.93,-88.84,78.8,65,40,9.17,1595434206
russell,US,32.35,-85.2,87.8,58,1,4.54,1595434206
gizo,SB,-8.1,156.84,80.78,78,90,9.46,1595434206
honningsvag,NO,70.98,25.97,50,93,75,10.29,1595434206
alta floresta,BR,-9.88,-56.09,93.2,30,0,12.75,1595434207
lasalgaon,IN,20.15,74.23,78.08,85,100,8.59,1595434207
strijen,NL,51.75,4.55,72,47,91,3,1595434207
touros,BR,-5.2,-35.46,84.2,58,75,11.41,1595434207
college,US,64.86,-147.8,51.8,87,90,2.15,1595434207
kampene,CD,-3.6,26.67,81.64,43,71,0.83,1595434207
mutoko,ZW,-17.4,32.23,59.29,40,22,8.75,1595434208
anadyr,RU,64.75,177.48,48.2,87,17,2.24,1595434208
vaitape,PF,-16.52,-151.75,77.68,77,53,18.79,1595434016
kobryn,BY,52.21,24.36,65.84,61,8,11.01,1595434208
tabriz,IR,38.08,46.29,84.2,39,20,18.34,1595434019
hirara,JP,24.8,125.28,84.02,85,89,14.67,1595434208
general roca,AR,-39.03,-67.58,37.4,93,90,11.41,1595434209
falmouth,GB,50.15,-5.07,66.2,48,75,5.82,1595434209
katsuura,JP,35.13,140.3,77,90,81,9.37,1595433945
san jose,US,37.34,-121.89,64.99,77,40,12.75,1595434075
camana,PE,-16.62,-72.71,63.72,67,56,10.11,1595434209
sipe sipe,BO,-17.45,-66.38,68,18,4,5.06,1595434210
hasaki,JP,35.73,140.83,75.2,100,75,3.36,1595434210
novyy urgal,RU,51.07,132.56,59.27,85,75,2.39,1595434210
bonito,BR,-21.12,-56.48,87.17,26,79,9.57,1595434210
